ID,Titre,Année,Genres,Note,Votes
tt0066585,Wuthering Heights,1970,"Adventure,Drama,Romance",6.4,2171
tt0066593,You Can't Win 'Em All,1970,"Action,Adventure,Comedy",5.7,1747
tt0066600,The Vampire Doll,1970,Horror,6.6,1419
tt0066601,Zabriskie Point,1970,Drama,6.9,17441
tt0066602,Zatoichi and the One-Armed Swordsman,1971,"Action,Adventure,Drama",7.1,1776
tt0066603,Zatoichi Meets Yojimbo,1970,"Action,Adventure,Drama",7.0,2907
tt0066612,Compañeros,1970,"Action,Comedy,Western",7.2,5135
tt0066639,The Ceremony,1971,"Comedy,Drama",7.2,1317
tt0066728,The Million Dollar Duck,1971,"Comedy,Family,Sci-Fi",5.8,2749
tt0066730,10 Rillington Place,1971,"Biography,Crime,Drama",7.5,10138
tt0066732,200 Motels,1971,"Comedy,Fantasy,Music",5.6,2417
tt0066735,Four Flies on Grey Velvet,1971,"Crime,Mystery,Thriller",6.5,10261
tt0066740,The Abominable Dr. Phibes,1971,"Comedy,Horror",7.0,17168
tt0066745,"Adiós, Sabata",1970,"Action,Drama,War",5.9,2389
tt0066758,Amar Prem,1972,"Drama,Musical,Romance",8.1,2028
tt0066763,Anand,1971,"Drama,Musical",8.1,35935
tt0066765,Monty Python's and Now for Something Completely Different,1971,Comedy,7.5,31820
tt0066767,The Anderson Tapes,1971,"Action,Crime,Thriller",6.4,9096
tt0066769,The Andromeda Strain,1971,"Mystery,Sci-Fi,Thriller",7.2,41352
tt0066773,The Goalie's Anxiety at the Penalty Kick,1972,"Drama,Sport",6.5,2356
tt0066798,Money Money Money,1972,"Adventure,Comedy,Crime",6.9,2686
tt0066806,Sympathy for the Underdog,1971,"Crime,Drama",7.3,1125
tt0066808,Bananas,1971,Comedy,6.9,38498
tt0066811,The Barefoot Executive,1971,"Comedy,Family",5.9,2103
tt0066815,The Beast in the Cellar,1971,"Horror,Thriller",4.9,1171
tt0066817,Bedknobs and Broomsticks,1971,"Adventure,Animation,Comedy",7.1,41462
tt0066819,The Beguiled,1971,"Drama,Thriller,War",7.2,19692
tt0066824,A Girl in Australia,1971,Comedy,6.9,1276
tt0066826,The Touch,1971,Drama,6.3,2289
tt0066827,Asylum Erotica,1971,"Horror,Mystery,Thriller",5.1,1923
tt0066830,The Big Doll House,1971,"Action,Drama,Thriller",5.8,3215
tt0066831,Big Jake,1971,"Drama,Western",7.1,14824
tt0066832,Billy Jack,1971,"Action,Drama",6.2,6735
tt0066834,Black Beauty,1971,"Drama,Family,Western",5.4,1195
tt0066841,Blanche,1971,"Drama,History",6.5,1044
tt0066842,Bleak Moments,1971,"Comedy,Drama",6.9,1731
tt0066844,Blindman,1971,Western,6.2,1370
tt0066848,Blood and Lace,1971,"Drama,Horror,Thriller",5.4,1267
