ID,Titre,Année,Genres,Note,Votes,Titre Français,Nom du/des Réalisateur(s)
tt0065702,Chariots of the Gods,1970,"Documentary,Fantasy",6.2,1780,Les Extraterrestres. Sur les traces de l'étrange,['Harald Reinl']
tt0065702,Chariots of the Gods,1970,"Documentary,Fantasy",6.2,1780,Présence des extratrerrestres,['Harald Reinl']
tt0065720,Figures in a Landscape,1970,"Action,Thriller",6.5,1745,Deux hommes en fuite,['Joseph Losey']
tt0065724,Five Easy Pieces,1970,Drama,7.4,41870,Cinq pièces faciles,['Bob Rafelson']
tt0065724,Five Easy Pieces,1970,Drama,7.4,41870,Five Easy Pieces,['Bob Rafelson']
tt0065737,Fragment of Fear,1970,"Crime,Drama,Horror",6.1,1038,Le Tunnel de la peur,['Richard C. Sarafian']
tt0065744,The Shiver of the Vampires,1971,"Horror,Mystery",5.6,2365,Le frisson des vampires,['Jean Rollin']
tt0065755,Gamera vs. Jiger,1970,"Action,Adventure,Family",5.3,1626,Gamera contre Jiger,"['Noriaki Yuasa', 'Shigeo Tanaka']"
tt0065760,Gas! -Or- It Became Necessary to Destroy the World in Order to Save It.,1970,"Comedy,Drama,Sci-Fi",4.2,1739,,['Roger Corman']
tt0065761,The Cat o' Nine Tails,1971,"Horror,Mystery,Thriller",6.6,13441,Le chat à neuf queues,['Dario Argento']
tt0065769,The Gendarme Takes Off,1970,"Comedy,Crime",6.5,7630,Le Gendarme en balade,['Jean Girault']
tt0065772,Claire's Knee,1970,"Drama,Romance",7.5,12827,Le genou de Claire,['Éric Rohmer']
tt0065772,Claire's Knee,1970,"Drama,Romance",7.5,12827,Six Contes Moraux V: Le genou de Claire,['Éric Rohmer']
tt0065775,Getting Straight,1970,"Comedy,Drama,Romance",6.3,1697,Campus ou C.Q.F.D.,['Richard Rush']
tt0065776,Space Amoeba,1970,"Action,Adventure,Sci-Fi",5.4,1551,Les Envahisseurs de l'espace,['Ishirô Honda']
tt0065777,The Garden of the Finzi-Continis,1970,"Drama,History,War",7.2,7955,Le jardin des Finzi-Contini,['Vittorio De Sica']
tt0065780,Gimme Shelter,1970,"Documentary,Music,Thriller",7.8,13144,Gimme Shelter,"['Albert Maysles', 'David Maysles', 'Charlotte Zwerin']"
tt0065782,Sunflower,1970,"Drama,War",7.3,4689,Les fleurs du soleil,['Vittorio De Sica']
tt0065797,The Great White Hope,1970,"Drama,Romance,Sport",6.9,2909,L'Insurgé,['Martin Ritt']
tt0065808,Gods of the Plague,1970,"Crime,Drama",6.4,1560,Les dieux de la peste,['Rainer Werner Fassbinder']
tt0065820,The Hawaiians,1970,"Adventure,Drama",6.1,1473,Le maître des îles,['Tom Gries']
tt0065832,Hercules in New York,1970,"Adventure,Comedy,Fantasy",3.3,19922,Hercule à New York,['Arthur Allan Seidelman']
tt0065832,Hercules in New York,1970,"Adventure,Comedy,Fantasy",3.3,19922,Hercule,['Arthur Allan Seidelman']
tt0065836,"Hi, Mom!",1970,"Comedy,Drama",6.1,6118,"Hi, Mom!",['Brian De Palma']
tt0065839,Hoffman,1970,Drama,6.8,1799,,['Alvin Rakoff']
tt0065848,The One Man Band,1970,"Comedy,Musical",6.2,3620,L'Homme orchestre,['Serge Korber']
tt0065850,Hornets' Nest,1970,"Action,Drama,War",5.7,1147,L'assaut des jeunes loups,"['Phil Karlson', 'Franco Cirino']"
tt0065851,The Horror of Frankenstein,1970,"Comedy,Horror,Sci-Fi",5.8,3032,Les horreurs de Frankenstein,['Jimmy Sangster']
tt0065852,Horror of the Blood Monsters,1970,"Adventure,Horror,Sci-Fi",3.1,1152,Les monstres de la planète des singes,['Al Adamson']
tt0065854,The House That Dripped Blood,1971,"Drama,Fantasy,Horror",6.5,7938,La maison qui tue,['Peter Duffell']
tt0065856,House of Dark Shadows,1970,"Drama,Fantasy,Horror",6.2,3541,La fiancée du vampire,['Dan Curtis']
tt0065867,Husbands,1970,"Comedy,Drama",7.1,7594,Les Maris,['John Cassavetes']
tt0065867,Husbands,1970,"Comedy,Drama",7.1,7594,Husbands,['John Cassavetes']
tt0065872,I Never Sang for My Father,1970,Drama,7.4,3057,Je n'ai jamais chanté pour mon père,['Gilbert Cates']
tt0065874,I Walk the Line,1970,Drama,6.5,2424,Le Pays de la violence,['John Frankenheimer']
tt0065889,Investigation of a Citizen Above Suspicion,1970,"Crime,Drama",8.0,13865,Enquête sur un citoyen au-dessus de tout soupçon,['Elio Petri']
tt0065904,The Party at Kitty and Stud's,1970,"Comedy,Drama,Romance",2.5,2535,L'étalon italien,['Morton M. Lewis']
tt0065908,How I Unleashed World War II,1970,"Adventure,Comedy,War",8.1,3881,Comment j'ai provoqué la Seconde Guerre mondiale,['Tadeusz Chmielewski']
tt0065908,How I Unleashed World War II,1970,"Adventure,Comedy,War",8.1,3881,Comment j'ai provoqué la seconde guerre mondiale : 1 - L'évasion,['Tadeusz Chmielewski']
